"Series Description","Market yield on U.S. Treasury securities at 1-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 6-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 2-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 7-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 30-year   constant maturity, quoted on investment basis"
2007-02-23,5.25,5.18,5.17,5.05,4.82,4.71,4.67,4.67,4.68,4.89,4.79
2007-02-26,5.23,5.19,5.18,5.05,4.77,4.67,4.62,4.62,4.63,4.84,4.73
2007-02-27,5.22,5.14,5.10,4.93,4.59,4.50,4.46,4.46,4.50,4.73,4.62
2007-02-28,5.24,5.16,5.12,4.96,4.65,4.55,4.52,4.53,4.56,4.78,4.68
2007-03-01,5.25,5.15,5.11,4.95,4.63,4.54,4.50,4.51,4.56,4.78,4.68
2007-03-02,5.23,5.12,5.07,4.90,4.56,4.48,4.46,4.47,4.52,4.75,4.65
2007-03-05,5.22,5.10,5.08,4.89,4.53,4.47,4.45,4.46,4.51,4.74,4.64
2007-03-06,5.24,5.14,5.10,4.92,4.58,4.52,4.48,4.49,4.53,4.76,4.66
2007-03-07,5.24,5.12,5.09,4.90,4.54,4.48,4.45,4.46,4.50,4.73,4.64
2007-03-08,5.24,5.10,5.08,4.91,4.56,4.49,4.45,4.46,4.51,4.74,4.65
2007-03-09,5.22,5.10,5.13,4.98,4.66,4.58,4.55,4.55,4.59,4.81,4.72
2007-03-12,5.22,5.09,5.13,4.96,4.62,4.55,4.50,4.51,4.56,4.78,4.69
2007-03-13,5.23,5.09,5.10,4.90,4.52,4.45,4.41,4.43,4.50,4.75,4.66
2007-03-14,5.24,5.06,5.10,4.91,4.54,4.47,4.44,4.46,4.53,4.78,4.69
2007-03-15,5.21,5.05,5.12,4.93,4.57,4.50,4.46,4.47,4.54,4.78,4.69
2007-03-16,5.18,5.04,5.13,4.95,4.58,4.51,4.47,4.49,4.55,4.79,4.70
2007-03-19,5.17,5.06,5.13,4.96,4.61,4.54,4.50,4.51,4.58,4.81,4.72
2007-03-20,5.22,5.06,5.12,4.94,4.60,4.51,4.47,4.49,4.56,4.79,4.71
2007-03-21,5.24,5.05,5.08,4.89,4.51,4.44,4.43,4.45,4.53,4.78,4.70
2007-03-22,5.23,5.06,5.08,4.91,4.58,4.51,4.49,4.52,4.60,4.86,4.78
2007-03-23,5.24,5.08,5.10,4.93,4.60,4.54,4.52,4.54,4.62,4.88,4.80
2007-03-26,5.22,5.06,5.09,4.91,4.56,4.50,4.48,4.51,4.60,4.86,4.79
2007-03-27,5.20,5.08,5.09,4.91,4.58,4.51,4.50,4.53,4.62,4.89,4.81
2007-03-28,5.18,5.06,5.08,4.90,4.53,4.49,4.50,4.53,4.62,4.90,4.83
2007-03-29,5.05,5.05,5.06,4.90,4.58,4.52,4.53,4.55,4.64,4.90,4.83
2007-03-30,5.07,5.04,5.06,4.90,4.58,4.54,4.54,4.58,4.65,4.92,4.84
2007-04-02,5.12,5.04,5.09,4.92,4.60,4.53,4.54,4.57,4.65,4.92,4.84
2007-04-03,5.15,5.05,5.09,4.93,4.63,4.57,4.56,4.59,4.67,4.93,4.85
2007-04-04,5.16,5.07,5.08,4.92,4.61,4.55,4.55,4.58,4.66,4.92,4.85
2007-04-05,5.10,5.04,5.07,4.93,4.63,4.57,4.57,4.60,4.68,4.95,4.87
2007-04-06,5.10,5.05,5.10,4.98,4.75,4.68,4.67,4.69,4.76,5.00,4.92
2007-04-09,5.08,5.02,5.11,4.98,4.73,4.67,4.66,4.68,4.75,5.00,4.92
2007-04-10,5.00,5.03,5.10,4.97,4.71,4.64,4.63,4.65,4.73,4.99,4.91
2007-04-11,5.01,5.04,5.10,4.97,4.73,4.66,4.66,4.67,4.74,5.00,4.92
2007-04-12,5.00,5.03,5.10,4.97,4.73,4.66,4.66,4.67,4.74,4.99,4.91
2007-04-13,4.98,5.02,5.09,4.98,4.76,4.71,4.68,4.70,4.76,5.01,4.93
2007-04-16,4.97,5.01,5.09,4.97,4.74,4.68,4.67,4.69,4.74,4.98,4.89
2007-04-17,4.94,5.01,5.07,4.93,4.68,4.61,4.61,4.62,4.69,4.93,4.85
2007-04-18,4.94,5.00,5.04,4.91,4.64,4.57,4.56,4.58,4.66,4.90,4.81
2007-04-19,4.93,4.99,5.04,4.91,4.64,4.58,4.57,4.60,4.68,4.92,4.84
2007-04-20,4.93,4.99,5.05,4.91,4.64,4.58,4.57,4.60,4.68,4.93,4.85
2007-04-23,4.93,4.98,5.04,4.90,4.62,4.55,4.55,4.57,4.66,4.91,4.83
2007-04-24,4.92,4.98,5.03,4.88,4.58,4.52,4.51,4.54,4.63,4.88,4.80
2007-04-25,4.94,4.97,5.03,4.90,4.63,4.55,4.55,4.57,4.66,4.91,4.83
2007-04-26,4.91,4.96,5.04,4.92,4.67,4.60,4.59,4.61,4.69,4.95,4.87
2007-04-27,4.85,4.95,5.03,4.91,4.67,4.61,4.59,4.62,4.71,4.96,4.89
2007-04-30,4.80,4.91,5.03,4.89,4.60,4.54,4.51,4.55,4.63,4.88,4.81
2007-05-01,4.69,4.90,5.01,4.89,4.63,4.56,4.54,4.57,4.64,4.89,4.81
2007-05-02,4.72,4.91,5.02,4.90,4.65,4.57,4.55,4.58,4.65,4.89,4.82
2007-05-03,4.74,4.90,5.03,4.93,4.71,4.62,4.59,4.61,4.68,4.91,4.84
2007-05-04,4.74,4.90,5.03,4.91,4.68,4.59,4.55,4.58,4.65,4.88,4.80
2007-05-07,4.76,4.89,5.03,4.92,4.68,4.58,4.55,4.57,4.64,4.86,4.79
2007-05-08,4.76,4.90,5.02,4.91,4.68,4.58,4.54,4.56,4.63,4.87,4.80
2007-05-09,4.75,4.88,4.99,4.90,4.73,4.64,4.58,4.60,4.67,4.91,4.83
2007-05-10,4.77,4.87,4.95,4.86,4.70,4.60,4.56,4.58,4.65,4.90,4.83
2007-05-11,4.75,4.87,4.91,4.85,4.71,4.62,4.58,4.60,4.67,4.92,4.85
2007-05-14,4.72,4.85,4.94,4.87,4.73,4.65,4.61,4.63,4.69,4.93,4.86
2007-05-15,4.79,4.83,4.91,4.85,4.75,4.66,4.63,4.65,4.71,4.95,4.88
2007-05-16,4.73,4.75,4.86,4.82,4.73,4.66,4.62,4.64,4.71,4.95,4.88
2007-05-17,4.80,4.81,4.90,4.86,4.78,4.71,4.68,4.69,4.76,4.99,4.91
2007-05-18,4.78,4.84,4.98,4.92,4.82,4.75,4.74,4.75,4.81,5.03,4.96
2007-05-21,4.85,4.88,5.01,4.95,4.81,4.74,4.71,4.73,4.79,5.02,4.94
2007-05-22,5.01,4.93,5.02,4.96,4.83,4.77,4.76,4.78,4.83,5.06,4.98
2007-05-23,5.00,4.91,5.01,4.96,4.85,4.79,4.79,4.80,4.86,5.09,5.01
2007-05-24,4.99,4.91,4.99,4.94,4.85,4.80,4.79,4.80,4.86,5.09,5.00
2007-05-25,4.97,4.88,4.97,4.93,4.85,4.81,4.80,4.82,4.86,5.09,5.01
2007-05-28,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-05-29,4.95,4.90,5.00,4.96,4.88,4.83,4.82,4.83,4.88,5.09,5.01
2007-05-30,4.94,4.85,4.99,4.96,4.89,4.85,4.83,4.84,4.88,5.09,5.01
2007-05-31,4.78,4.73,4.96,4.95,4.92,4.88,4.86,4.87,4.90,5.10,5.01
2007-06-01,4.80,4.79,4.98,4.98,4.97,4.94,4.92,4.92,4.95,5.15,5.06
2007-06-04,4.78,4.81,4.99,4.99,4.97,4.92,4.91,4.91,4.93,5.11,5.02
2007-06-05,4.75,4.83,4.99,4.99,4.99,4.97,4.96,4.96,4.98,5.16,5.07
2007-06-06,4.78,4.80,4.95,4.96,4.97,4.94,4.94,4.94,4.97,5.17,5.08
2007-06-07,4.80,4.80,4.97,4.99,5.03,5.03,5.05,5.07,5.11,5.29,5.20
2007-06-08,4.76,4.77,4.93,4.96,5.01,5.03,5.06,5.08,5.12,5.30,5.22
2007-06-11,4.70,4.73,4.96,4.98,5.01,5.03,5.07,5.10,5.14,5.32,5.24
2007-06-12,4.65,4.72,4.97,5.01,5.08,5.13,5.18,5.21,5.26,5.44,5.35
2007-06-13,4.62,4.66,4.94,4.98,5.08,5.10,5.13,5.16,5.20,5.36,5.28
2007-06-14,4.51,4.65,4.93,4.98,5.10,5.13,5.16,5.19,5.23,5.39,5.30
2007-06-15,4.46,4.56,4.87,4.93,5.05,5.07,5.10,5.12,5.16,5.34,5.26
2007-06-18,4.47,4.63,4.93,4.95,5.01,5.05,5.07,5.10,5.15,5.34,5.26
2007-06-19,4.44,4.65,4.91,4.92,4.94,4.98,5.00,5.03,5.09,5.28,5.20
2007-06-20,4.42,4.74,4.97,4.97,4.97,5.01,5.05,5.09,5.14,5.32,5.24
2007-06-21,4.17,4.70,4.96,4.96,4.98,5.01,5.06,5.10,5.16,5.36,5.28
2007-06-22,4.29,4.73,4.95,4.94,4.92,4.97,5.02,5.07,5.14,5.34,5.25
2007-06-25,4.43,4.82,5.01,4.96,4.87,4.92,4.97,5.01,5.09,5.28,5.20
2007-06-26,4.53,4.82,5.01,4.97,4.90,4.95,4.99,5.03,5.10,5.31,5.22
2007-06-27,4.24,4.77,4.95,4.93,4.91,4.93,4.97,5.02,5.09,5.28,5.20
2007-06-28,4.08,4.78,4.95,4.95,4.96,4.98,5.02,5.06,5.12,5.30,5.22
2007-06-29,4.28,4.82,4.93,4.91,4.87,4.89,4.92,4.96,5.03,5.21,5.12
2007-07-02,4.55,4.95,5.02,4.97,4.86,4.86,4.90,4.93,5.00,5.18,5.09
2007-07-03,4.77,4.95,5.02,4.98,4.89,4.90,4.95,4.99,5.05,5.22,5.14
2007-07-04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-07-05,4.76,4.95,5.03,5.02,4.99,5.00,5.05,5.10,5.16,5.32,5.24
2007-07-06,4.71,4.95,5.01,5.00,4.99,5.02,5.10,5.14,5.19,5.36,5.28
2007-07-09,4.68,4.97,5.05,5.03,4.97,5.00,5.07,5.11,5.16,5.32,5.25
2007-07-10,4.74,4.95,5.03,4.97,4.85,4.87,4.93,4.97,5.03,5.21,5.14
2007-07-11,4.73,4.95,5.04,4.99,4.89,4.90,4.98,5.02,5.09,5.26,5.18
2007-07-12,4.73,4.97,5.05,5.02,4.94,4.97,5.03,5.08,5.13,5.29,5.22
2007-07-13,4.72,4.97,5.05,5.01,4.94,4.95,5.01,5.05,5.11,5.27,5.19
2007-07-16,4.75,4.98,5.08,5.01,4.89,4.89,4.95,4.99,5.05,5.21,5.14
2007-07-17,4.77,4.96,5.08,5.02,4.91,4.92,4.98,5.02,5.08,5.24,5.16
2007-07-18,4.77,4.96,5.05,4.98,4.84,4.86,4.91,4.95,5.02,5.18,5.10
2007-07-19,4.78,4.98,5.06,5.00,4.87,4.88,4.94,4.98,5.04,5.20,5.12
2007-07-20,4.76,4.97,5.05,4.96,4.79,4.78,4.85,4.90,4.96,5.14,5.07
2007-07-23,4.88,5.02,5.10,5.00,4.80,4.81,4.86,4.90,4.97,5.15,5.07
2007-07-24,5.05,5.02,5.08,4.97,4.77,4.76,4.82,4.87,4.94,5.13,5.05
2007-07-25,5.04,4.99,5.05,4.95,4.74,4.74,4.80,4.85,4.92,5.12,5.04
2007-07-26,4.98,4.92,4.96,4.83,4.56,4.54,4.61,4.68,4.79,5.02,4.95
2007-07-27,4.89,4.85,4.94,4.82,4.56,4.53,4.60,4.68,4.80,5.03,4.95
2007-07-30,4.95,4.96,5.00,4.87,4.59,4.57,4.64,4.71,4.82,5.05,4.97
2007-07-31,5.13,4.96,4.99,4.85,4.56,4.55,4.60,4.67,4.78,5.00,4.92
2007-08-01,5.05,4.89,4.96,4.82,4.56,4.53,4.60,4.66,4.76,4.99,4.90
2007-08-02,5.02,4.89,4.95,4.83,4.59,4.57,4.62,4.68,4.77,5.00,4.91
2007-08-03,4.94,4.85,4.91,4.76,4.46,4.45,4.52,4.59,4.71,4.96,4.87
2007-08-06,4.92,4.88,4.92,4.76,4.46,4.45,4.52,4.60,4.72,4.98,4.89
2007-08-07,5.05,4.94,4.98,4.84,4.56,4.55,4.60,4.66,4.77,5.01,4.92
2007-08-08,5.04,4.95,5.01,4.89,4.64,4.64,4.69,4.75,4.84,5.11,5.01
2007-08-09,4.70,4.81,4.86,4.74,4.49,4.51,4.58,4.66,4.79,5.10,5.02
2007-08-10,4.38,4.57,4.80,4.69,4.47,4.51,4.59,4.68,4.81,5.11,5.03
2007-08-13,4.61,4.74,4.90,4.75,4.46,4.49,4.57,4.65,4.78,5.09,5.01
2007-08-14,4.62,4.64,4.81,4.67,4.39,4.42,4.51,4.60,4.73,5.06,4.99
2007-08-15,4.18,4.21,4.48,4.41,4.27,4.31,4.41,4.52,4.69,5.07,5.00
2007-08-16,3.13,3.79,4.22,4.18,4.08,4.15,4.26,4.39,4.60,4.99,4.92
2007-08-17,3.03,3.76,4.19,4.19,4.18,4.25,4.35,4.47,4.68,5.06,5.00
2007-08-20,2.47,3.12,4.17,4.15,4.11,4.19,4.32,4.44,4.64,5.04,4.98
2007-08-21,3.17,3.59,4.08,4.07,4.05,4.12,4.27,4.41,4.60,5.00,4.95
2007-08-22,3.12,3.67,4.08,4.10,4.15,4.19,4.34,4.46,4.63,5.01,4.96
2007-08-23,3.79,3.89,4.19,4.19,4.20,4.24,4.36,4.47,4.62,4.98,4.93
2007-08-24,4.24,4.24,4.32,4.31,4.30,4.31,4.42,4.50,4.63,4.95,4.88
2007-08-27,4.74,4.63,4.69,4.55,4.28,4.28,4.39,4.47,4.60,4.92,4.87
2007-08-28,4.60,4.40,4.48,4.36,4.13,4.14,4.25,4.36,4.53,4.90,4.86
2007-08-29,4.02,3.98,4.30,4.24,4.14,4.19,4.31,4.41,4.57,4.93,4.88
2007-08-30,3.69,3.84,4.21,4.17,4.08,4.14,4.21,4.33,4.51,4.87,4.83
2007-08-31,4.02,4.01,4.21,4.19,4.15,4.16,4.25,4.36,4.54,4.87,4.83
2007-09-03,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-09-04,4.55,4.47,4.52,4.39,4.13,4.16,4.26,4.38,4.56,4.88,4.84
2007-09-05,4.41,4.36,4.41,4.28,4.03,4.05,4.16,4.29,4.48,4.82,4.78
2007-09-06,4.28,4.29,4.42,4.30,4.08,4.09,4.20,4.32,4.51,4.84,4.79
2007-09-07,4.03,4.07,4.20,4.10,3.90,3.92,4.03,4.17,4.38,4.73,4.70
2007-09-10,3.93,3.96,4.20,4.09,3.87,3.89,4.00,4.13,4.34,4.68,4.65
2007-09-11,4.13,4.11,4.27,4.16,3.95,3.97,4.07,4.19,4.37,4.68,4.65
2007-09-12,4.00,4.03,4.20,4.12,3.95,3.99,4.11,4.23,4.41,4.72,4.68
2007-09-13,4.04,4.08,4.27,4.20,4.08,4.11,4.22,4.33,4.49,4.79,4.75
2007-09-14,3.85,4.01,4.22,4.16,4.05,4.07,4.18,4.30,4.47,4.77,4.72
2007-09-17,3.82,4.15,4.31,4.23,4.08,4.11,4.21,4.32,4.48,4.76,4.72
2007-09-18,3.87,4.01,4.12,4.08,4.00,4.04,4.19,4.32,4.50,4.81,4.77
2007-09-19,3.62,3.93,4.09,4.06,4.00,4.06,4.20,4.33,4.53,4.86,4.83
2007-09-20,3.46,3.79,4.11,4.10,4.10,4.19,4.35,4.49,4.69,4.99,4.96
2007-09-21,3.24,3.74,4.10,4.09,4.06,4.15,4.31,4.44,4.64,4.95,4.89
2007-09-24,3.35,3.84,4.11,4.09,4.05,4.14,4.31,4.44,4.63,4.94,4.88
2007-09-25,3.34,3.79,4.06,4.04,4.00,4.09,4.26,4.41,4.63,4.94,4.89
2007-09-26,3.25,3.73,4.06,4.03,3.97,4.07,4.27,4.43,4.63,4.95,4.90
2007-09-27,3.30,3.71,4.07,4.03,3.95,4.02,4.22,4.37,4.58,4.89,4.84
2007-09-28,3.43,3.82,4.09,4.05,3.97,4.03,4.23,4.38,4.59,4.89,4.83
2007-10-01,3.52,3.92,4.15,4.11,4.02,4.05,4.24,4.37,4.56,4.85,4.79
2007-10-02,3.63,3.96,4.16,4.10,3.98,4.01,4.20,4.34,4.54,4.83,4.77
2007-10-03,3.67,3.96,4.16,4.11,4.02,4.07,4.24,4.37,4.55,4.85,4.79
2007-10-04,3.63,3.96,4.15,4.10,4.00,4.06,4.22,4.35,4.54,4.83,4.77
2007-10-05,3.58,4.00,4.20,4.16,4.08,4.16,4.33,4.46,4.65,4.94,4.87
2007-10-08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-10-09,3.72,4.06,4.28,4.23,4.15,4.21,4.38,4.49,4.67,4.93,4.87
2007-10-10,3.81,4.06,4.27,4.23,4.15,4.21,4.37,4.49,4.65,4.93,4.86
2007-10-11,3.98,4.12,4.27,4.22,4.13,4.18,4.36,4.48,4.66,4.95,4.87
2007-10-12,4.12,4.20,4.31,4.28,4.23,4.27,4.42,4.53,4.70,4.98,4.91
2007-10-15,4.25,4.30,4.40,4.33,4.22,4.25,4.40,4.52,4.69,4.98,4.91
2007-10-16,4.14,4.25,4.33,4.26,4.12,4.17,4.34,4.47,4.66,4.97,4.90
2007-10-17,3.74,4.01,4.17,4.11,4.00,4.04,4.22,4.36,4.57,4.88,4.82
2007-10-18,3.21,3.76,4.09,4.03,3.93,3.98,4.17,4.31,4.52,4.84,4.78
2007-10-19,3.45,3.86,4.07,3.98,3.80,3.85,4.03,4.19,4.41,4.74,4.68
2007-10-22,3.69,4.00,4.15,4.05,3.85,3.88,4.08,4.21,4.42,4.73,4.68
2007-10-23,3.98,3.98,4.12,4.01,3.81,3.86,4.06,4.20,4.41,4.74,4.69
2007-10-24,3.83,3.85,4.00,3.91,3.74,3.79,3.99,4.14,4.36,4.69,4.64
2007-10-25,3.92,3.94,4.02,3.93,3.74,3.78,4.01,4.15,4.37,4.70,4.66
2007-10-26,3.97,3.96,4.05,3.96,3.77,3.79,4.04,4.19,4.41,4.73,4.68
2007-10-29,3.96,4.01,4.10,4.00,3.79,3.84,4.04,4.19,4.39,4.71,4.66
2007-10-30,4.03,3.96,4.07,3.98,3.82,3.85,4.06,4.20,4.40,4.72,4.68
2007-10-31,4.01,3.94,4.09,4.04,3.94,3.94,4.16,4.29,4.48,4.79,4.74
2007-11-01,3.90,3.81,3.95,3.89,3.77,3.80,4.02,4.16,4.36,4.69,4.64
2007-11-02,3.73,3.61,3.79,3.74,3.66,3.68,3.93,4.09,4.31,4.65,4.61
2007-11-05,3.86,3.71,3.94,3.86,3.69,3.71,3.96,4.12,4.35,4.67,4.63
2007-11-06,3.99,3.76,3.90,3.83,3.70,3.73,3.99,4.15,4.38,4.70,4.66
2007-11-07,3.77,3.49,3.76,3.71,3.61,3.60,3.92,4.09,4.34,4.71,4.67
2007-11-08,3.56,3.38,3.67,3.61,3.47,3.46,3.81,4.00,4.28,4.70,4.67
2007-11-09,3.42,3.27,3.64,3.57,3.42,3.44,3.77,3.96,4.23,4.64,4.61
2007-11-12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-11-13,3.73,3.50,3.76,3.68,3.54,3.52,3.84,4.01,4.26,4.64,4.61
2007-11-14,3.86,3.41,3.70,3.65,3.57,3.53,3.86,4.03,4.28,4.65,4.61
2007-11-15,3.74,3.30,3.56,3.49,3.35,3.35,3.71,3.90,4.17,4.58,4.54
2007-11-16,3.78,3.40,3.57,3.49,3.33,3.30,3.68,3.88,4.15,4.56,4.52
2007-11-19,3.74,3.40,3.55,3.43,3.18,3.16,3.57,3.78,4.07,4.50,4.47
2007-11-20,3.65,3.25,3.41,3.32,3.14,3.15,3.52,3.74,4.06,4.51,4.49
2007-11-21,3.54,3.09,3.28,3.18,2.99,3.03,3.40,3.65,4.00,4.49,4.46
2007-11-22,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-11-23,3.64,3.23,3.39,3.28,3.07,3.10,3.42,3.67,4.01,4.46,4.43
2007-11-26,3.53,3.13,3.33,3.20,2.92,2.93,3.23,3.48,3.83,4.29,4.26
2007-11-27,3.68,3.16,3.37,3.26,3.05,3.04,3.38,3.61,3.95,4.40,4.36
2007-11-28,3.52,3.05,3.38,3.31,3.17,3.21,3.50,3.72,4.03,4.46,4.41
2007-11-29,3.38,2.99,3.30,3.22,3.06,3.11,3.42,3.64,3.94,4.39,4.35
2007-11-30,3.63,3.15,3.37,3.26,3.04,3.09,3.41,3.64,3.97,4.44,4.40
2007-12-03,3.55,3.06,3.28,3.15,2.90,2.93,3.28,3.53,3.89,4.38,4.34
2007-12-04,3.16,3.07,3.22,3.11,2.90,2.92,3.28,3.54,3.89,4.38,4.34
2007-12-05,3.15,3.07,3.24,3.13,2.90,2.91,3.28,3.55,3.92,4.42,4.39
2007-12-06,3.09,3.09,3.29,3.20,3.03,3.03,3.39,3.66,4.02,4.52,4.49
2007-12-07,3.04,3.12,3.30,3.24,3.12,3.15,3.51,3.77,4.12,4.62,4.58
2007-12-10,3.05,3.05,3.31,3.26,3.17,3.19,3.54,3.80,4.15,4.64,4.60
2007-12-11,2.89,2.94,3.17,3.09,2.94,2.99,3.32,3.59,3.98,4.51,4.47
2007-12-12,2.89,2.88,3.20,3.16,3.07,3.12,3.41,3.68,4.05,4.55,4.51
2007-12-13,2.70,2.87,3.22,3.22,3.21,3.22,3.54,3.80,4.18,4.66,4.61
